warehouse_location,category_lvl1,category_lvl2,category_lvl3,current_stock,available_stock
WH-8-C66,"Food, Beverages & Tobacco",Food Items,Candy & Chocolate,2,2
WH-7-A33,Electronics,Electronics Accessories,Antennas,299,291
WH-1-D93,Apparel & Accessories,Clothing,Underwear & Socks,404,403
WH-7-C15,Apparel & Accessories,Shoes,Unknown,491,490
WH-6-A38,Unknown,,,172,171
WH-3-B80,Sporting Goods,Exercise & Fitness,Yoga & Pilates,331,329
WH-2-A20,Unknown,,,56,55
WH-7-B76,Apparel & Accessories,Clothing,Sleepwear & Loungewear,303,302
WH-7-A30,Apparel & Accessories,Clothing,Traditional & Ceremonial Clothing,426,425
WH-1-E81,Home & Garden,Plants,Flowers,19,12
WH-6-A21,Unknown,,,166,165
WH-3-C28,Hardware,Tool Accessories,Router Accessories,236,223
WH-9-D75,Toys & Games,Toys,Pretend Play,485,477
WH-3-D83,Health & Beauty,Personal Care,Hair Care,541,531
WH-8-D93,Home & Garden,Kitchen & Dining,Tableware,357,355
WH-5-A83,Apparel & Accessories,Clothing,Skorts,476,476
WH-5-D42,Apparel & Accessories,Clothing,Pants,212,212
WH-1-A64,Unknown,Unknown,Unknown,67,59
WH-8-A22,Home & Garden,Lighting,Lamps,453,449
WH-5-D59,Unknown,Unknown,Unknown,362,358
WH-7-D98,Unknown,Unknown,Unknown,144,143
WH-9-D63,Mature,Weapons,Mace & Pepper Spray,169,168
WH-1-D58,Unknown,,,311,311
WH-6-D91,Unknown,,,343,333
WH-3-C95,Vehicles & Parts,Vehicle Parts & Accessories,Motor Vehicle Seating,331,329
WH-6-E10,Unknown,,,75,75
WH-8-E43,Apparel & Accessories,Clothing,One-Pieces,228,228
WH-8-C89,Health & Beauty,Personal Care,Cosmetics,385,379
WH-7-C33,Vehicles & Parts,Vehicle Parts & Accessories,"Vehicle Maintenance, Care & Decor",193,192
WH-7-D30,Vehicles & Parts,Vehicle Parts & Accessories,Motor Vehicle Parts,297,297
WH-3-B56,Hardware,Hardware Accessories,Tool Storage & Organization,316,315
WH-4-A30,Home & Garden,Household Appliance Accessories,Air Conditioner Filters,377,377
WH-3-E43,Home & Garden,Kitchen & Dining,Water Filters,106,100
WH-7-B39,Electronics,Electronics Accessories,Cables,288,288
WH-3-A84,Unknown,,,332,331
WH-9-D11,Electronics,Audio,Audio Components,411,411
WH-5-D76,Electronics,Audio,Audio Components,340,339
WH-1-D92,Home & Garden,Pool & Spa,Pool & Spa Accessories,457,426
WH-8-B62,Health & Beauty,Personal Care,Hair Care,232,225
WH-6-E52,Unknown,Unknown,Unknown,189,186
WH-2-C92,Hardware,Hardware Accessories,Tool Storage & Organization,352,343
WH-3-E30,Apparel & Accessories,Clothing,Underwear & Socks,29,29
WH-4-C79,Electronics,Electronics Accessories,Power,469,466
WH-2-C65,Electronics,Electronics Accessories,Cables,177,176
WH-6-A28,Apparel & Accessories,Jewelry,Earrings,109,108
WH-8-E25,Unknown,Unknown,Unknown,360,354
WH-1-E39,Vehicles & Parts,Vehicles,Motor Vehicles,424,419
WH-5-A35,Apparel & Accessories,Clothing Accessories,Hair Accessories,203,196
WH-8-A25,Sporting Goods,Outdoor Recreation,Hunting & Shooting,188,186
WH-2-C82,Apparel & Accessories,Clothing Accessories,Hair Accessories,248,242
WH-1-A58,Hardware,Hardware Accessories,Tool Storage & Organization,308,305
WH-6-A15,Apparel & Accessories,Clothing,Underwear & Socks,37,35
WH-7-A17,Vehicles & Parts,Vehicle Parts & Accessories,"Vehicle Maintenance, Care & Decor",535,527
WH-1-B57,Apparel & Accessories,Shoes,Unknown,508,506
WH-1-C50,Hardware,Tool Accessories,Cutter Accessories,27,26
WH-6-E91,Electronics,Audio,Audio Components,351,350
WH-2-D42,Electronics,Audio,Audio Components,183,180
WH-2-B45,Hardware,Hardware Accessories,Tool Storage & Organization,184,183
WH-6-A74,Hardware,Hardware Accessories,Tool Storage & Organization,28,26
WH-5-B21,Unknown,,,297,296
WH-6-D48,Sporting Goods,Athletics,Basketball,309,303
WH-8-C45,Electronics,Audio,Audio Components,348,338
WH-2-E14,Electronics,Audio,Audio Accessories,172,171
WH-7-E84,Electronics,Electronics Accessories,Antenna Accessories,328,327
WH-3-A41,Electronics,Electronics Accessories,Antenna Accessories,324,323
WH-5-A97,Hardware,Hardware Accessories,Tool Storage & Organization,224,222
WH-9-C13,Electronics,Audio,Audio Components,218,217
WH-9-E98,Electronics,Audio,Audio Components,367,366
WH-1-A62,Hardware,Hardware Accessories,Tool Storage & Organization,298,296
WH-9-B44,Cameras & Optics,Optics,Binoculars,236,225
WH-5-E64,Electronics,Audio,Audio Components,282,281
WH-2-E87,Electronics,Audio,Audio Components,323,322
WH-2-A22,Hardware,Hardware Accessories,Tool Storage & Organization,328,327
WH-2-E24,Hardware,Hardware Accessories,Tool Storage & Organization,479,479
WH-4-B54,Hardware,Hardware Accessories,Tool Storage & Organization,40,37
WH-3-D74,Unknown,Unknown,Unknown,257,255
WH-8-A74,Hardware,Tool Accessories,Axe Accessories,338,336
WH-3-B12,Apparel & Accessories,Shoes,Unknown,486,485
WH-5-C24,Hardware,Hardware Accessories,Tool Storage & Organization,216,214
WH-3-D63,Luggage & Bags,Luggage Accessories,Luggage Tags,382,373
WH-1-A20,Hardware,Hardware Accessories,Tool Storage & Organization,316,311
WH-3-A86,Home & Garden,Kitchen & Dining,Kitchen Tools & Utensils,308,307
WH-3-D82,Sporting Goods,Outdoor Recreation,Cycling,183,179
WH-3-B50,Unknown,,,384,384
WH-1-B71,Home & Garden,Lawn & Garden,Gardening Accessories,147,144
WH-8-C25,Electronics,Audio,Audio Components,353,351
WH-3-B78,Vehicles & Parts,Vehicle Parts & Accessories,Motor Vehicle Wheel Systems,4,4
WH-9-D60,Electronics,Audio,Audio Components,428,427
WH-1-E77,Electronics,Audio,Audio Components,168,166
WH-2-A39,Apparel & Accessories,Clothing,Pants,384,383
WH-5-A24,Home & Garden,Pool & Spa,Pool & Spa Accessories,468,450
WH-1-E39,Unknown,,,187,185
WH-4-B63,Apparel & Accessories,Clothing,Underwear & Socks,188,187
WH-2-C81,Hardware,Hardware Accessories,Tool Storage & Organization,195,188
WH-7-E35,Apparel & Accessories,Shoes,Unknown,328,327
WH-6-D43,Apparel & Accessories,Shoes,Unknown,436,435
WH-3-A33,Hardware,Building Materials,Flooring & Carpet,202,201
WH-4-C85,Health & Beauty,Personal Care,Cosmetics,250,247
WH-9-E51,Cameras & Optics,Camera & Optic Accessories,Optic Accessories,319,315
WH-2-D20,Apparel & Accessories,Clothing Accessories,Hair Accessories,161,159
WH-9-B71,Cameras & Optics,Optics,Binoculars,87,87
WH-4-C86,Toys & Games,Toys,Pretend Play,243,238
WH-9-A97,Health & Beauty,Personal Care,Shaving & Grooming,37,35
WH-2-A43,Health & Beauty,Personal Care,Cosmetics,141,137
WH-9-B71,Vehicles & Parts,Vehicle Parts & Accessories,"Vehicle Maintenance, Care & Decor",163,151
WH-4-B85,Electronics,Electronics Accessories,Power,432,431
WH-4-D13,Apparel & Accessories,Clothing,Underwear & Socks,463,456
WH-3-E46,Vehicles & Parts,Vehicle Parts & Accessories,Vehicle Decor,398,398
WH-7-B71,Apparel & Accessories,Clothing,One-Pieces,408,407
WH-4-A22,Electronics,Electronics Accessories,Computer Components,462,459
WH-9-D14,Cameras & Optics,Optics,Scopes,46,37
WH-3-A13,Unknown,,,498,495
WH-7-D63,Home & Garden,Kitchen & Dining,Kitchen Tools & Utensils,268,266
WH-6-D90,Cameras & Optics,Optics,Scopes,472,466
WH-6-C60,Home & Garden,Plants,Flowers,174,160
WH-8-A23,Hardware,Hardware Accessories,Tool Storage & Organization,320,319
WH-1-D87,Apparel & Accessories,Clothing,Underwear & Socks,285,285
WH-1-C44,Home & Garden,Decor,Vases,320,305
WH-8-C96,Unknown,,,409,407
WH-7-E88,Apparel & Accessories,Clothing Accessories,Hair Accessories,71,67
WH-9-A54,Cameras & Optics,Optics,Binoculars,229,228
WH-2-D25,Home & Garden,Decor,Rugs,356,356
WH-5-A41,Electronics,Audio,Audio Components,116,108
WH-6-B96,Animals & Pet Supplies,Pet Supplies,Fish Supplies,389,387
WH-3-A19,Apparel & Accessories,Clothing,One-Pieces,72,68
WH-6-A57,Apparel & Accessories,Shoes,Unknown,1,1
WH-8-D92,Home & Garden,Kitchen & Dining,Tableware,11,11
WH-8-E34,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,444,444
WH-9-B14,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,68,68
WH-1-C44,Apparel & Accessories,Clothing Accessories,Hair Accessories,312,308
WH-1-D75,Electronics,GPS Navigation Systems,Unknown,129,127
WH-8-A16,Electronics,Audio,Audio Components,462,462
WH-4-C41,Hardware,Hardware Accessories,Tool Storage & Organization,294,292
WH-1-D24,Electronics,Audio,Audio Components,63,63
WH-8-D86,Hardware,Hardware Accessories,Tool Storage & Organization,391,389
WH-9-D34,Hardware,Hardware Accessories,Tool Storage & Organization,454,453
WH-9-D96,Apparel & Accessories,Shoes,Unknown,393,393
WH-3-A65,Unknown,,,249,249
WH-5-B91,Unknown,,,395,395
WH-9-B87,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,386,382
WH-8-B21,Apparel & Accessories,Clothing Accessories,Hair Accessories,56,49
WH-6-C58,Unknown,,,165,165
WH-4-B45,Apparel & Accessories,Clothing Accessories,Hair Extensions,84,82
WH-4-C23,Apparel & Accessories,Shoes,Unknown,226,226
WH-6-C89,Home & Garden,Kitchen & Dining,Kitchen Appliances,65,58
WH-6-B48,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,144,141
WH-1-C74,Apparel & Accessories,Shoes,Unknown,267,267
WH-3-D77,Home & Garden,Decor,Vases,385,383
WH-9-B96,"Food, Beverages & Tobacco",Beverages,Coffee,486,467
WH-5-D34,"Food, Beverages & Tobacco",Beverages,Coffee,143,141
WH-6-E53,Hardware,Hardware Accessories,Tool Storage & Organization,280,280
WH-1-A42,Electronics,Audio,Audio Components,257,256
WH-5-D45,Hardware,Hardware Accessories,Tool Storage & Organization,371,369
WH-9-E95,Electronics,Components,Converters,200,197
WH-4-A57,Cameras & Optics,Optics,Scopes,305,303
WH-6-E15,Apparel & Accessories,Shoes,Unknown,489,487
WH-3-B79,Apparel & Accessories,Clothing,Shirts & Tops,275,273
WH-4-E38,Home & Garden,Household Supplies,Storage & Organization,451,450
WH-3-A55,Apparel & Accessories,Shoes,Unknown,293,293
WH-7-C23,Hardware,Tools,Flashlights & Headlamps,514,496
WH-6-B91,Arts & Entertainment,Hobbies & Creative Arts,Musical Instrument & Orchestra Accessories,240,238
WH-8-D45,Apparel & Accessories,Clothing Accessories,Hair Accessories,449,444
WH-4-D80,Business & Industrial,Retail,Money Handling,166,154
WH-3-D45,Apparel & Accessories,Clothing Accessories,Sunglasses,212,211
WH-8-A45,Unknown,,,23,23
WH-5-C22,Hardware,Tools,Pickup Tools,36,36
WH-2-B25,Apparel & Accessories,Jewelry,Jewelry Sets,328,327
WH-2-C97,Apparel & Accessories,Clothing Accessories,Sunglasses,237,235
WH-7-A30,Unknown,,,140,136
WH-2-A69,Apparel & Accessories,Shoes,Unknown,113,112
WH-7-D22,Unknown,,,246,241
WH-4-D78,Vehicles & Parts,Vehicle Parts & Accessories,Motor Vehicle Parts,464,464
WH-8-B60,Electronics,Audio,Audio Components,320,319
WH-2-C51,Unknown,Unknown,Unknown,428,428
WH-9-A14,Apparel & Accessories,Clothing,Shorts,103,97
WH-4-E42,Hardware,Hardware Accessories,Tool Storage & Organization,263,262
WH-8-A89,Hardware,Hardware Accessories,Tool Storage & Organization,355,354
WH-2-D10,Unknown,,,381,380
WH-2-C60,Apparel & Accessories,Shoes,Unknown,500,499
WH-6-A54,Unknown,Unknown,Unknown,83,71
WH-4-B90,Apparel & Accessories,Clothing Accessories,Hair Accessories,482,480
WH-1-A17,Sporting Goods,Athletics,Basketball,146,144
WH-1-B68,Hardware,Hardware Accessories,Tool Storage & Organization,98,98
WH-3-A31,Hardware,Hardware Accessories,Tool Storage & Organization,225,224
WH-5-D32,Electronics,Audio,Audio Components,31,30
WH-5-D82,Apparel & Accessories,Jewelry,Earrings,161,159
WH-6-A27,Apparel & Accessories,Jewelry,Earrings,60,56
WH-9-A23,Apparel & Accessories,Clothing,Shorts,401,392
WH-5-E84,Unknown,Unknown,Unknown,322,320
WH-3-E59,Electronics,Electronics Accessories,Power,404,402
WH-5-B42,Apparel & Accessories,Jewelry,Earrings,77,77
WH-4-D52,Apparel & Accessories,Clothing,Underwear & Socks,136,136
WH-6-D53,Apparel & Accessories,Jewelry,Earrings,330,329
WH-3-E19,Toys & Games,Toys,Activity Toys,465,464
WH-6-B63,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,85,81
WH-5-D77,Sporting Goods,Athletics,Basketball,210,206
WH-4-D95,Health & Beauty,Health Care,Fitness & Nutrition,103,89
WH-4-A41,Hardware,Hardware Accessories,Tool Storage & Organization,175,174
WH-7-B43,Hardware,Hardware Accessories,Tool Storage & Organization,411,410
WH-3-D62,Apparel & Accessories,Clothing,Underwear & Socks,109,108
WH-5-C61,Hardware,Hardware Accessories,Tool Storage & Organization,607,589
WH-4-A33,Unknown,Unknown,Unknown,502,477
WH-5-A41,Mature,Weapons,Mace & Pepper Spray,90,88
WH-8-B97,"Food, Beverages & Tobacco",Beverages,Coffee,101,100
WH-2-D46,Electronics,Communications,Telephony,434,434
WH-3-C96,Health & Beauty,Health Care,Fitness & Nutrition,160,158
WH-3-C73,Apparel & Accessories,Clothing,Shorts,478,478
WH-5-A41,Apparel & Accessories,Clothing Accessories,Belts,162,159
WH-4-A56,Unknown,Unknown,Unknown,453,449
WH-8-C39,Home & Garden,Lawn & Garden,Outdoor Power Equipment,459,455
WH-2-D46,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,352,331
WH-6-A82,Hardware,Tools,Axes,133,117
WH-3-A11,Apparel & Accessories,Clothing,Unknown,262,258
WH-7-D78,Apparel & Accessories,Clothing Accessories,Hair Accessories,462,460
WH-2-B52,Apparel & Accessories,Clothing,Underwear & Socks,100,100
WH-1-A51,Unknown,,,2,2
WH-3-D29,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,77,66
WH-9-C25,Apparel & Accessories,Clothing Accessories,Hair Accessories,170,169
WH-2-A27,Apparel & Accessories,Clothing Accessories,Hair Accessories,178,177
WH-5-C71,Apparel & Accessories,Jewelry,Watch Accessories,473,472
WH-8-B48,Sporting Goods,Outdoor Recreation,Inline & Roller Skating,387,387
WH-6-D12,Apparel & Accessories,Shoes,Unknown,297,297
WH-8-A48,Vehicles & Parts,Vehicles,Aircraft,214,213
WH-3-A87,Unknown,Unknown,Unknown,254,253
WH-1-B94,Apparel & Accessories,Clothing,Underwear & Socks,328,324
WH-5-A27,Apparel & Accessories,Clothing,Underwear & Socks,408,405
WH-2-E14,Apparel & Accessories,Clothing,Underwear & Socks,412,406
WH-1-C51,Apparel & Accessories,Clothing,Underwear & Socks,402,399
WH-5-D10,Apparel & Accessories,Clothing,Underwear & Socks,191,190
WH-1-E93,Apparel & Accessories,Clothing,Underwear & Socks,185,183
WH-2-A39,Apparel & Accessories,Clothing,Underwear & Socks,421,413
WH-5-C17,Apparel & Accessories,Clothing,Underwear & Socks,228,227
WH-1-B85,Electronics,Components,Splitters,246,243
WH-3-E81,Hardware,Hardware Accessories,Tool Storage & Organization,136,133
WH-7-B90,Hardware,Hardware Accessories,Tool Storage & Organization,265,264
WH-9-A50,Hardware,Hardware Accessories,Tool Storage & Organization,446,444
WH-3-B34,Apparel & Accessories,Clothing Accessories,Hair Accessories,466,461
WH-2-E34,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,129,128
WH-6-C80,Unknown,,,492,491
WH-8-D38,Apparel & Accessories,Shoes,Unknown,177,176
WH-2-E49,Unknown,,,198,197
WH-4-A55,Unknown,Unknown,Unknown,405,401
WH-4-E47,Unknown,Unknown,Unknown,327,320
WH-4-A55,Unknown,,,309,307
WH-2-B74,Unknown,Unknown,Unknown,308,302
WH-8-C92,Apparel & Accessories,Clothing,Underwear & Socks,439,439
WH-9-A68,Apparel & Accessories,Shoes,Unknown,132,131
WH-3-B49,Unknown,Unknown,Unknown,392,391
WH-7-C49,Apparel & Accessories,Costumes & Accessories,Costumes,62,60
WH-1-C84,Apparel & Accessories,Clothing,Underwear & Socks,165,164
WH-1-B40,Hardware,Tool Accessories,Tool Stands,440,434
WH-5-D10,Apparel & Accessories,Clothing,Underwear & Socks,498,494
WH-6-C70,Apparel & Accessories,Clothing,Underwear & Socks,162,159
WH-8-C90,Unknown,,,233,231
WH-6-A87,Apparel & Accessories,Clothing,Underwear & Socks,288,284
WH-7-B53,Apparel & Accessories,Clothing,Underwear & Socks,490,487
WH-3-D36,Apparel & Accessories,Clothing,Underwear & Socks,122,122
WH-6-E89,Apparel & Accessories,Clothing,Underwear & Socks,49,43
WH-5-A11,Apparel & Accessories,Clothing,Underwear & Socks,82,81
WH-8-A28,Apparel & Accessories,Clothing,Underwear & Socks,378,369
WH-2-A53,Apparel & Accessories,Clothing,Underwear & Socks,324,321
WH-4-B89,Apparel & Accessories,Clothing,Underwear & Socks,453,450
WH-5-A40,Unknown,,,221,219
WH-5-B70,Apparel & Accessories,Shoes,Unknown,111,110
WH-9-E42,Sporting Goods,Outdoor Recreation,Camping & Hiking,249,245
WH-9-A71,Unknown,,,279,278
WH-5-E77,Unknown,,,428,427
WH-3-E13,Apparel & Accessories,Shoes,Unknown,292,290
WH-4-E29,Apparel & Accessories,Clothing Accessories,Hair Accessories,40,40
WH-7-B24,Apparel & Accessories,Clothing,Underwear & Socks,14,13
WH-3-D84,Apparel & Accessories,Clothing,Underwear & Socks,351,348
WH-1-B95,Apparel & Accessories,Clothing,Underwear & Socks,256,251
WH-9-E27,Apparel & Accessories,Clothing,Underwear & Socks,170,169
WH-2-E43,Apparel & Accessories,Clothing,Underwear & Socks,73,70
WH-5-D26,Apparel & Accessories,Clothing,Underwear & Socks,83,82
WH-7-D88,Unknown,,,53,52
WH-2-B93,Apparel & Accessories,Clothing,Underwear & Socks,117,116
WH-7-B16,Apparel & Accessories,Clothing,Underwear & Socks,30,30
WH-1-E54,Apparel & Accessories,Clothing,Underwear & Socks,31,31
WH-2-D95,Apparel & Accessories,Clothing,Underwear & Socks,337,335
WH-7-A67,Apparel & Accessories,Clothing,Underwear & Socks,448,446
WH-4-D38,Apparel & Accessories,Clothing,Underwear & Socks,220,214
WH-1-D70,Apparel & Accessories,Clothing,Underwear & Socks,468,467
WH-2-E31,Apparel & Accessories,Clothing,Underwear & Socks,433,433
WH-7-B67,Apparel & Accessories,Clothing,Underwear & Socks,110,108
WH-3-A22,Arts & Entertainment,Hobbies & Creative Arts,Musical Instruments,349,348
WH-2-B36,Unknown,,,226,225
WH-5-B69,Unknown,,,222,222
WH-9-A92,Apparel & Accessories,Shoes,Unknown,249,249
WH-6-C37,Apparel & Accessories,Shoes,Unknown,96,95
WH-8-B22,Unknown,Unknown,Unknown,14,13
WH-3-E62,Sporting Goods,Outdoor Recreation,Hunting & Shooting,459,458
WH-2-B57,Toys & Games,Toys,Play Vehicles,492,490
WH-5-B61,Apparel & Accessories,Clothing,Underwear & Socks,343,337
WH-3-D33,Apparel & Accessories,Clothing,Underwear & Socks,44,43
WH-6-D46,Home & Garden,Linens & Bedding,Bedding,350,349
WH-6-A88,Apparel & Accessories,Clothing,Baby & Toddler Clothing,126,126
WH-2-E27,Unknown,Unknown,Unknown,276,271
WH-4-B63,Apparel & Accessories,Costumes & Accessories,Costumes,411,409
WH-9-E29,Unknown,Unknown,Unknown,41,39
WH-8-D61,Vehicles & Parts,Vehicles,Motor Vehicles,257,256
WH-3-C92,Unknown,Unknown,Unknown,376,374
WH-1-D95,Home & Garden,Plants,Trees,488,484
WH-8-C41,Sporting Goods,Outdoor Recreation,Hunting & Shooting,133,133
WH-1-C56,Home & Garden,Plants,Trees,323,322
WH-3-C52,Sporting Goods,Outdoor Recreation,Hunting & Shooting,34,27
WH-8-D60,Unknown,Unknown,Unknown,305,301
WH-9-D57,Unknown,Unknown,Unknown,401,400
WH-7-D78,Unknown,Unknown,Unknown,259,255
WH-4-A43,Unknown,Unknown,Unknown,142,142
WH-9-B31,Unknown,Unknown,Unknown,417,416
WH-3-E62,Sporting Goods,Outdoor Recreation,Hunting & Shooting,276,274
WH-8-C28,Unknown,Unknown,Unknown,296,293
WH-7-B15,Unknown,Unknown,Unknown,26,23
WH-5-A89,Unknown,Unknown,Unknown,174,171
WH-7-D56,Sporting Goods,Outdoor Recreation,Hunting & Shooting,258,257
WH-3-E23,Electronics,Audio,Audio Components,424,424
WH-8-D30,Electronics,Audio,Audio Components,363,362
WH-6-B17,Health & Beauty,Personal Care,Hair Care,138,131
WH-3-C66,Electronics,Audio,Audio Components,458,456
WH-3-D69,Hardware,Hardware Accessories,Tool Storage & Organization,194,193
WH-5-D71,Furniture,Tables,Unknown,446,446
WH-5-E34,Unknown,Unknown,Unknown,448,445
WH-5-C22,Vehicles & Parts,Vehicle Parts & Accessories,"Vehicle Maintenance, Care & Decor",408,401
WH-3-D97,Electronics,Electronics Accessories,Handheld Device Accessories,244,243
WH-7-C37,Vehicles & Parts,Vehicles,Motor Vehicles,443,442
WH-2-E55,Furniture,Tables,Unknown,418,416
WH-3-C40,Apparel & Accessories,Shoes,Unknown,391,390
WH-1-C73,Electronics,Electronics Accessories,Computer Accessories,190,177
WH-2-C63,Unknown,Unknown,Unknown,276,272
WH-6-A48,Unknown,Unknown,Unknown,295,287
WH-9-D69,Apparel & Accessories,Shoes,Unknown,464,463
WH-6-C16,Apparel & Accessories,Clothing,Underwear & Socks,465,465
WH-9-B20,Unknown,Unknown,Unknown,367,360
WH-1-A94,Unknown,Unknown,Unknown,210,210
WH-4-B98,Hardware,Hardware Accessories,Tool Storage & Organization,357,348
WH-6-D48,Hardware,Hardware Accessories,Tool Storage & Organization,283,281
WH-9-C56,Unknown,,,257,254
WH-8-E53,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,436,434
WH-8-B17,Apparel & Accessories,Clothing,Underwear & Socks,100,99
WH-9-B49,Unknown,,,383,383
WH-6-C83,Apparel & Accessories,Clothing,Underwear & Socks,38,38
WH-1-D81,Electronics,Electronics Accessories,Handheld Device Accessories,40,38
WH-1-C93,Home & Garden,Kitchen & Dining,Kitchen Appliances,209,207
WH-4-D28,Mature,Weapons,Gun Care & Accessories,64,53
WH-3-D40,Unknown,Unknown,Unknown,469,467
WH-3-D96,Apparel & Accessories,Clothing Accessories,Hair Accessories,303,303
WH-1-E16,Home & Garden,Linens & Bedding,Bedding,1,1
WH-5-E65,Health & Beauty,Health Care,Fitness & Nutrition,82,81
WH-9-E95,Apparel & Accessories,Clothing Accessories,Hair Accessories,193,191
WH-7-B64,Cameras & Optics,Camera & Optic Accessories,Camera Parts & Accessories,234,225
WH-9-B25,Unknown,,,287,287
WH-3-E61,Apparel & Accessories,Clothing Accessories,Hair Accessories,491,483
WH-6-A82,Apparel & Accessories,Clothing,Underwear & Socks,296,296
WH-3-B47,Unknown,,,357,351
WH-1-D38,Unknown,Unknown,Unknown,39,35
WH-1-C11,Health & Beauty,Jewelry Cleaning & Care,Jewelry Holders,113,107
WH-6-C18,Apparel & Accessories,Clothing,Outerwear,491,491
WH-6-E73,Apparel & Accessories,Clothing,Shirts & Tops,394,393
WH-5-C50,Apparel & Accessories,Clothing,Suits,506,504
WH-7-C69,Apparel & Accessories,Clothing,Suits,59,58
WH-9-D57,Home & Garden,Decor,Rugs,429,429
WH-8-C29,Apparel & Accessories,Clothing,Underwear & Socks,80,79
WH-2-B55,Apparel & Accessories,Shoes,Unknown,446,444
WH-5-C79,Apparel & Accessories,Shoes,Unknown,248,248
WH-1-C47,Apparel & Accessories,Shoes,Unknown,246,245
WH-2-C60,Apparel & Accessories,Shoes,Unknown,391,389
WH-2-C35,Apparel & Accessories,Clothing Accessories,Hair Accessories,350,349
WH-1-D72,Hardware,Hardware Accessories,Tool Storage & Organization,460,459
WH-9-E48,Electronics,Audio,Audio Components,119,118
WH-4-C48,Electronics,Audio,Audio Components,273,272
WH-1-A65,Unknown,,,333,333
WH-4-D34,Apparel & Accessories,Shoes,Unknown,49,48
WH-4-B52,Apparel & Accessories,Jewelry,Necklaces,204,202
WH-4-A84,Electronics,Video,Video Accessories,341,340
WH-9-C82,Mature,Weapons,Mace & Pepper Spray,375,373
WH-4-E86,Unknown,,,34,34
WH-8-C57,Electronics,Circuit Boards & Components,Semiconductors,196,195
WH-5-E13,Apparel & Accessories,Clothing Accessories,Scarves & Shawls,218,216
WH-2-D35,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,196,193
WH-4-E27,Apparel & Accessories,Clothing Accessories,Scarves & Shawls,497,489
WH-9-B91,Hardware,Tools,Ladders & Scaffolding,515,512
WH-4-C38,Apparel & Accessories,Clothing Accessories,Sunglasses,253,245
WH-1-C58,Home & Garden,Lawn & Garden,Outdoor Living,54,47
WH-5-E46,Sporting Goods,Athletics,Figure Skating & Hockey,8,8
WH-9-E47,Hardware,Tools,Ladders & Scaffolding,434,432
WH-2-A40,Apparel & Accessories,Clothing Accessories,Sunglasses,65,61
WH-3-D28,Electronics,Communications,Telephony,567,550
WH-4-E63,Hardware,Tools,Flashlights & Headlamps,589,566
WH-2-B36,Apparel & Accessories,Clothing,Baby & Toddler Clothing,108,108
WH-9-A66,Apparel & Accessories,Shoes,Unknown,220,220
WH-8-D41,Apparel & Accessories,Shoes,Unknown,55,54
WH-5-C21,Apparel & Accessories,Clothing,Unknown,391,390
WH-1-E81,Unknown,Unknown,Unknown,265,264
WH-6-C75,Unknown,Unknown,Unknown,40,39
WH-4-A87,Unknown,Unknown,Unknown,24,21
WH-9-C61,Unknown,Unknown,Unknown,333,332
WH-2-C32,Unknown,Unknown,Unknown,500,499
WH-6-C12,Unknown,Unknown,Unknown,253,252
WH-6-D70,Unknown,Unknown,Unknown,460,459
WH-9-E79,Sporting Goods,Outdoor Recreation,Hunting & Shooting,265,263
WH-2-D76,Sporting Goods,Outdoor Recreation,Hunting & Shooting,169,167
WH-9-B91,Unknown,Unknown,Unknown,416,415
WH-8-D17,Sporting Goods,Outdoor Recreation,Hunting & Shooting,355,353
WH-3-C52,Unknown,Unknown,Unknown,135,133
WH-6-E73,Vehicles & Parts,Vehicle Parts & Accessories,Motor Vehicle Parts,91,89
WH-5-E77,Apparel & Accessories,Costumes & Accessories,Costumes,414,412
WH-3-B90,Unknown,Unknown,Unknown,484,482
WH-6-C37,Apparel & Accessories,Costumes & Accessories,Costumes,51,41
WH-9-E20,Unknown,Unknown,Unknown,460,459
WH-9-B30,Unknown,Unknown,Unknown,175,174
WH-3-E24,Mature,Weapons,Guns,478,478
WH-5-A32,Unknown,Unknown,Unknown,303,301
WH-6-C81,Apparel & Accessories,Costumes & Accessories,Costumes,502,501
WH-6-C15,Vehicles & Parts,Vehicle Parts & Accessories,Motor Vehicle Parts,14,13
WH-2-D46,Unknown,Unknown,Unknown,66,64
WH-7-B12,Unknown,Unknown,Unknown,327,326
WH-1-E70,Apparel & Accessories,Clothing,Pants,405,405
WH-2-A65,Apparel & Accessories,Clothing,Pants,227,226
WH-6-D53,Hardware,Tool Accessories,Axe Accessories,424,423
WH-5-D41,Home & Garden,Decor,Vases,485,483
WH-8-C10,Apparel & Accessories,Clothing,Underwear & Socks,7,7
WH-4-E63,Toys & Games,Toys,Building Toys,354,351
WH-5-C98,Home & Garden,Linens & Bedding,Bed Sheets,494,480
WH-8-A25,Apparel & Accessories,Shoes,Unknown,449,447
